timestamp,pid,event
0,2221,DllMain
1,2221,RtlInitUnicodeString
2,2221,LdrGetDllHandle
3,2221,DllMain
4,2221,DllMain
5,2221,DllMain
6,2221,DllMain
7,2221,DllMain
8,2221,__set_app_type
9,2221,__p__fmode
10,2221,__p__commode
11,2221,_controlfp
12,2221,_initterm
13,2221,__getmainargs
14,2221,RtlAllocateHeap
15,2221,RtlSetLastWin32Error
16,2221,RtlUnicodeStringToAnsiString
17,2221,RtlFreeHeap
18,2221,_initterm
19,2221,GetStartupInfoA
20,2221,RtlAllocateHeap
21,2221,RtlUnicodeStringToAnsiString
22,2221,RtlUnicodeStringToAnsiString
23,2221,RtlUnicodeStringToAnsiString
24,2221,GetModuleHandleA
25,2221,GetModuleFileNameA
26,2221,RtlAllocateHeap
27,2221,RtlSetLastWin32Error
28,2221,RtlUnicodeStringToAnsiString
29,2221,RtlFreeHeap
30,2221,GetComputerNameW
31,2221,RtlQueryEnvironmentVariable
32,2221,RtlNtStatusToDosError
33,2221,RtlSetLastWin32Error
34,2221,RtlInitUnicodeString
35,2221,NtOpenKey
36,2221,RtlInitUnicodeString
37,2221,NtOpenKey
38,2221,RtlInitUnicodeString
39,2221,NtQueryValueKey
40,2221,NtClose
41,2221,memcpy
42,2221,RtlEnterCriticalSection
43,2221,RtlInitUnicodeString
44,2221,NtOpenKey
45,2221,RtlInitUnicodeString
46,2221,NtQueryValueKey
47,2221,memcpy
48,2221,NtClose
49,2221,RtlInitUnicodeString
50,2221,NtOpenKey
51,2221,RtlInitUnicodeString
52,2221,NtQueryValueKey
53,2221,memcpy
54,2221,NtClose
55,2221,RtlAllocateHeap
56,2221,memcpy
57,2221,RtlLeaveCriticalSection
58,2221,NtClose
59,2221,wcslen
60,2221,wcslen
61,2221,wcslen
62,2221,wcslen
63,2221,wcslen
64,2221,wcslen
65,2221,wcslen
66,2221,wcslen
67,2221,wcslen
68,2221,wcslen
69,2221,wcslen
70,2221,wcslen
71,2221,wcslen
72,2221,wcslen
73,2221,wcslen
74,2221,wcslen
75,2221,srand
76,2221,rand
77,2221,rand
78,2221,rand
79,2221,rand
80,2221,rand
81,2221,rand
82,2221,rand
83,2221,rand
84,2221,rand
85,2221,rand
86,2221,rand
87,2221,rand
88,2221,strrchr
89,2221,strrchr
90,2221,SetCurrentDirectoryA
91,2221,RtlInitAnsiStringEx
92,2221,RtlAnsiStringToUnicodeString
93,2221,RtlSetCurrentDirectory_U
94,2221,RtlFreeUnicodeString
95,2221,wcscat
96,2221,RegCreateKeyW
97,2221,RtlGetCurrentTransaction
98,2221,RtlSetCurrentTransaction
99,2221,RtlAcquireSRWLockExclusive
100,2221,RtlReleaseSRWLockExclusive
101,2221,RtlSetCurrentTransaction
102,2221,RtlInitUnicodeStringEx
103,2221,memset
104,2221,NtCreateKey
105,2221,RtlNtStatusToDosError
106,2221,RtlAcquireSRWLockExclusive
107,2221,RtlReleaseSRWLockExclusive
108,2221,GetCurrentDirectoryA
109,2221,RtlGetCurrentDirectory_U
110,2221,RtlUnicodeToMultiByteSize
111,2221,RtlUnicodeStringToAnsiString
112,2221,strlen
113,2221,RegSetValueExA
114,2221,RtlCreateUnicodeStringFromAsciiz
115,2221,RtlAllocateHeap
116,2221,RtlMultiByteToUnicodeN
117,2221,NtSetValueKey
118,2221,RtlNtStatusToDosError
119,2221,RtlFreeHeap
120,2221,RtlFreeUnicodeString
121,2221,RegCloseKey
122,2221,NtClose
123,2221,FindResourceA
124,2221,RtlInitAnsiString
125,2221,RtlAnsiStringToUnicodeString
126,2221,RtlUpcaseUnicodeChar
127,2221,RtlUpcaseUnicodeChar
128,2221,RtlUpcaseUnicodeChar
129,2221,LdrFindResource_U
130,2221,RtlFreeHeap
131,2221,LoadResource
132,2221,LdrAccessResource
133,2221,LockResource
134,2221,SizeofResource
135,2221,LdrAccessResource
136,2221,operator new
137,2221,strlen
138,2221,operator new
139,2221,strcpy
140,2221,GetCurrentDirectoryA
141,2221,RtlGetCurrentDirectory_U
142,2221,RtlUnicodeToMultiByteSize
143,2221,RtlUnicodeStringToAnsiString
144,2221,strlen
145,2221,strcat
146,2221,operator new
147,2221,malloc
148,2221,memcpy
149,2221,free
150,2221,memcpy
151,2221,memcpy
152,2221,memcpy
153,2221,memcpy
154,2221,memcpy
155,2221,memcpy
156,2221,memcpy
157,2221,memcpy
158,2221,memcpy
159,2221,memcpy
160,2221,memcpy
161,2221,memcpy
162,2221,memcpy
163,2221,memcpy
164,2221,memcpy
165,2221,memcpy
166,2221,memcpy
167,2221,memcpy
168,2221,memcpy
169,2221,memcpy
170,2221,memcpy
171,2221,memcpy
172,2221,malloc
173,2221,memcpy
174,2221,memcpy
175,2221,memcpy
176,2221,memcpy
177,2221,memcpy
178,2221,memcpy
179,2221,memcpy
180,2221,memcpy
181,2221,memcpy
182,2221,memcpy
183,2221,memcpy
184,2221,memcpy
185,2221,memcpy
186,2221,memcpy
187,2221,memcpy
188,2221,memcpy
189,2221,memcpy
190,2221,memcpy
191,2221,memcpy
192,2221,memcpy
193,2221,memcpy
194,2221,memcpy
195,2221,memcpy
196,2221,memcpy
197,2221,memcpy
198,2221,memcpy
199,2221,memcpy
200,2221,memcpy
201,2221,memcpy
202,2221,memcpy
203,2221,memcpy
204,2221,memcpy
205,2221,memcpy
206,2221,memcpy
207,2221,memcpy
208,2221,memcpy
209,2221,memcpy
210,2221,memcpy
211,2221,memcpy
212,2221,memcpy
213,2221,memcpy
214,2221,memcpy
215,2221,memcpy
216,2221,memcpy
217,2221,memcpy
218,2221,memcpy
219,2221,operator new
220,2221,memcpy
221,2221,memcpy
222,2221,memcpy
223,2221,memcpy
224,2221,memcpy
225,2221,memcpy
226,2221,memcpy
227,2221,memcpy
228,2221,memcpy
229,2221,memcpy
230,2221,memcpy
231,2221,memcpy
232,2221,memcpy
233,2221,memcpy
234,2221,memcpy
235,2221,memcpy
236,2221,memcpy
237,2221,memcpy
238,2221,memcpy
239,2221,memcpy
240,2221,memcpy
241,2221,memcpy
242,2221,memcpy
243,2221,memcpy
244,2221,memcpy
245,2221,memcpy
246,2221,memcpy
247,2221,memcpy
248,2221,memcpy
249,2221,memcpy
250,2221,memcpy
251,2221,memcpy
252,2221,memcpy
253,2221,memcpy
254,2221,memcpy
255,2221,memcpy
256,2221,memcpy
257,2221,memcpy
258,2221,memcpy
259,2221,memcpy
260,2221,memcpy
261,2221,memcpy
262,2221,memcpy
263,2221,memcpy
264,2221,memcpy
265,2221,memcpy
266,2221,memcpy
267,2221,memcpy
268,2221,memcpy
269,2221,memcpy
270,2221,memcpy
271,2221,memcpy
272,2221,memcpy
273,2221,memcpy
274,2221,memcpy
275,2221,memcpy
276,2221,memcpy
277,2221,memcpy
278,2221,memcpy
279,2221,memcpy
280,2221,memcpy
281,2221,memcpy
282,2221,memcpy
283,2221,memcpy
284,2221,memcpy
285,2221,memcpy
286,2221,memcpy
287,2221,memcpy
288,2221,memcpy
289,2221,memcpy
290,2221,memcpy
291,2221,memcpy
292,2221,memcpy
293,2221,memcpy
294,2221,memcpy
295,2221,memcpy
296,2221,memcpy
297,2221,operator new
298,2221,memcpy
299,2221,strcpy
300,2221,_mbsstr
301,2221,_mbsstr
302,2221,_mbsstr
303,2221,_mbsstr
304,2221,strcpy
305,2221,SystemTimeToFileTime
306,2221,RtlTimeFieldsToTime
307,2221,LocalFileTimeToFileTime
308,2221,operator delete
309,2221,memcpy
310,2221,strcmp
311,2221,memcpy
312,2221,strcpy
313,2221,wsprintfA
314,2221,GetFileAttributesA
315,2221,RtlInitAnsiStringEx
316,2221,RtlAnsiStringToUnicodeString
317,2221,RtlDosPathNameToNtPathName_U_WithStatus
318,2221,NtQueryAttributesFile
319,2221,RtlFreeHeap
320,2221,RtlFreeUnicodeString
321,2221,CreateFileA
322,2221,RtlInitAnsiStringEx
323,2221,RtlAnsiStringToUnicodeString
324,2221,RtlInitUnicodeStringEx
325,2221,RtlDosPathNameToRelativeNtPathName_U_WithStatus
326,2221,NtCreateFile
327,2221,RtlReleaseRelativeName
328,2221,RtlFreeHeap
329,2221,RtlFreeHeap
330,2221,RtlSetLastWin32Error
331,2221,RtlFreeUnicodeString
332,2221,memcpy
333,2221,memcpy
334,2221,memcpy
335,2221,memcpy
336,2221,memcpy
337,2221,memcpy
338,2221,memcpy
339,2221,memcpy
340,2221,memcpy
341,2221,memcpy
342,2221,memcpy
343,2221,memcpy
344,2221,memcpy
345,2221,memcpy
346,2221,memcpy
347,2221,memcpy
348,2221,memcpy
349,2221,memcpy
350,2221,memcpy
351,2221,memcpy
352,2221,memcpy
353,2221,memcpy
354,2221,memcpy
355,2221,memcpy
356,2221,memcpy
357,2221,memcpy
358,2221,memcpy
359,2221,memcpy
360,2221,memcpy
361,2221,memcpy
362,2221,malloc
363,2221,malloc
364,2221,calloc
365,2221,calloc
366,2221,calloc
367,2221,calloc
368,2221,operator new
369,2221,memcpy
370,2221,calloc
371,2221,calloc
372,2221,free
373,2221,calloc
374,2221,free
375,2221,calloc
376,2221,free
377,2221,memcpy
378,2221,WriteFile
379,2221,NtWriteFile
380,2221,memcpy
381,2221,free
382,2221,calloc
383,2221,calloc
384,2221,free
385,2221,calloc
386,2221,free
387,2221,calloc
388,2221,free
389,2221,WriteFile
390,2221,NtWriteFile
391,2221,memcpy
392,2221,WriteFile
393,2221,NtWriteFile
394,2221,memcpy
395,2221,WriteFile
396,2221,NtWriteFile
397,2221,memcpy
398,2221,WriteFile
399,2221,NtWriteFile
400,2221,memcpy
401,2221,free
402,2221,calloc
403,2221,calloc
