timestamp,pid,event
0,2250,DllMain
1,2250,RtlInitUnicodeString
2,2250,LdrGetDllHandle
3,2250,DllMain
4,2250,DllMain
5,2250,DllMain
6,2250,DllMain
7,2250,DllMain
8,2250,DllMain
9,2250,DllMain
10,2250,DllMain
11,2250,DllMain
12,2250,__set_app_type
13,2250,__p__fmode
14,2250,__p__commode
15,2250,_controlfp
16,2250,_initterm
17,2250,__getmainargs
18,2250,RtlAllocateHeap
19,2250,RtlSetLastWin32Error
20,2250,RtlUnicodeStringToAnsiString
21,2250,RtlFreeHeap
22,2250,_initterm
23,2250,GetServiceDisplayNameA
24,2250,memset
25,2250,memset
26,2250,SetLastError
27,2250,RtlSetLastWin32Error
28,2250,CreateServiceA
29,2250,RtlAllocateHeap
30,2250,RtlInitAnsiString
31,2250,RtlAnsiStringToUnicodeString
32,2250,RpcSsGetContextBinding
33,2250,RtlFreeHeap
34,2250,GetServiceDisplayNameA
35,2250,memset
36,2250,memset
37,2250,SetLastError
38,2250,RtlSetLastWin32Error
39,2250,CreateServiceA
40,2250,RtlAllocateHeap
41,2250,RtlInitAnsiString
42,2250,RtlAnsiStringToUnicodeString
43,2250,RpcSsGetContextBinding
44,2250,RtlFreeHeap
45,2250,GetServiceDisplayNameA
46,2250,memset
47,2250,memset
48,2250,SetLastError
49,2250,RtlSetLastWin32Error
50,2250,CreateServiceA
51,2250,RtlAllocateHeap
52,2250,RtlInitAnsiString
53,2250,RtlAnsiStringToUnicodeString
54,2250,RpcSsGetContextBinding
55,2250,RtlFreeHeap
56,2250,GetServiceDisplayNameA
57,2250,memset
58,2250,memset
59,2250,SetLastError
60,2250,RtlSetLastWin32Error
61,2250,CreateServiceA
62,2250,RtlAllocateHeap
63,2250,RtlInitAnsiString
64,2250,RtlAnsiStringToUnicodeString
65,2250,RpcSsGetContextBinding
66,2250,RtlFreeHeap
67,2250,GetServiceDisplayNameA
68,2250,memset
69,2250,memset
70,2250,SetLastError
71,2250,RtlSetLastWin32Error
72,2250,CreateServiceA
73,2250,RtlAllocateHeap
74,2250,RtlInitAnsiString
75,2250,RtlAnsiStringToUnicodeString
76,2250,RpcSsGetContextBinding
77,2250,RtlFreeHeap
78,2250,GetServiceDisplayNameA
79,2250,memset
80,2250,memset
81,2250,SetLastError
82,2250,RtlSetLastWin32Error
83,2250,CreateServiceA
84,2250,RtlAllocateHeap
85,2250,RtlInitAnsiString
86,2250,RtlAnsiStringToUnicodeString
87,2250,RpcSsGetContextBinding
88,2250,RtlFreeHeap
89,2250,GetServiceDisplayNameA
90,2250,memset
91,2250,memset
92,2250,SetLastError
93,2250,RtlSetLastWin32Error
94,2250,CreateServiceA
95,2250,RtlAllocateHeap
96,2250,RtlInitAnsiString
97,2250,RtlAnsiStringToUnicodeString
98,2250,RpcSsGetContextBinding
99,2250,RtlFreeHeap
100,2250,GetServiceDisplayNameA
101,2250,memset
102,2250,memset
103,2250,SetLastError
104,2250,RtlSetLastWin32Error
105,2250,CreateServiceA
106,2250,RtlAllocateHeap
107,2250,RtlInitAnsiString
108,2250,RtlAnsiStringToUnicodeString
109,2250,RpcSsGetContextBinding
110,2250,RtlFreeHeap
111,2250,GetServiceDisplayNameA
112,2250,memset
113,2250,memset
114,2250,SetLastError
115,2250,RtlSetLastWin32Error
116,2250,CreateServiceA
117,2250,RtlAllocateHeap
118,2250,RtlInitAnsiString
119,2250,RtlAnsiStringToUnicodeString
120,2250,RpcSsGetContextBinding
121,2250,RtlFreeHeap
122,2250,GetServiceDisplayNameA
123,2250,memset
124,2250,memset
125,2250,SetLastError
126,2250,RtlSetLastWin32Error
127,2250,CreateServiceA
128,2250,RtlAllocateHeap
129,2250,RtlInitAnsiString
130,2250,RtlAnsiStringToUnicodeString
131,2250,RpcSsGetContextBinding
132,2250,RtlFreeHeap
133,2250,GetServiceDisplayNameA
134,2250,memset
135,2250,memset
136,2250,SetLastError
137,2250,RtlSetLastWin32Error
138,2250,CreateServiceA
139,2250,RtlAllocateHeap
140,2250,RtlInitAnsiString
141,2250,RtlAnsiStringToUnicodeString
142,2250,RpcSsGetContextBinding
143,2250,RtlFreeHeap
144,2250,GetServiceDisplayNameA
145,2250,memset
146,2250,memset
147,2250,SetLastError
148,2250,RtlSetLastWin32Error
149,2250,CreateServiceA
150,2250,RtlAllocateHeap
151,2250,RtlInitAnsiString
152,2250,RtlAnsiStringToUnicodeString
153,2250,RpcSsGetContextBinding
154,2250,RtlFreeHeap
155,2250,GetServiceDisplayNameA
156,2250,memset
157,2250,memset
158,2250,SetLastError
159,2250,RtlSetLastWin32Error
160,2250,CreateServiceA
161,2250,RtlAllocateHeap
162,2250,RtlInitAnsiString
163,2250,RtlAnsiStringToUnicodeString
164,2250,RpcSsGetContextBinding
165,2250,RtlFreeHeap
166,2250,GetServiceDisplayNameA
