timestamp,pid,event
139,2219,141;RtlAllocateHeap;
140,2219,142;RtlAllocateHeap;
141,2219,143;RtlLeaveCriticalSection;
142,2219,144;RtlEnterCriticalSection;
143,2219,145;RtlAllocateHeap;
144,2219,146;RtlAllocateHeap;
145,2219,147;RtlLeaveCriticalSection;
146,2219,148;RtlEnterCriticalSection;
147,2219,149;RtlAllocateHeap;
148,2219,150;RtlAllocateHeap;
149,2219,151;RtlLeaveCriticalSection;
150,2219,152;RtlEnterCriticalSection;
151,2219,153;RtlAllocateHeap;
152,2219,154;RtlAllocateHeap;
153,2219,155;RtlReAllocateHeap;
154,2219,156;RtlLeaveCriticalSection;
155,2219,157;RtlEnterCriticalSection;
156,2219,158;RtlAllocateHeap;
157,2219,159;RtlAllocateHeap;
158,2219,160;RtlLeaveCriticalSection;
159,2219,161;RtlEnterCriticalSection;
160,2219,162;RtlAllocateHeap;
161,2219,163;RtlAllocateHeap;
162,2219,164;RtlLeaveCriticalSection;
163,2219,165;RtlEnterCriticalSection;
164,2219,166;RtlAllocateHeap;
165,2219,167;RtlAllocateHeap;
166,2219,168;RtlLeaveCriticalSection;
167,2219,169;RtlEnterCriticalSection;
168,2219,170;RtlAllocateHeap;
169,2219,171;RtlAllocateHeap;
170,2219,172;RtlReAllocateHeap;
171,2219,173;RtlLeaveCriticalSection;
172,2219,174;RtlEnterCriticalSection;
173,2219,175;RtlAllocateHeap;
174,2219,176;RtlAllocateHeap;
175,2219,177;RtlLeaveCriticalSection;
176,2219,178;RtlEnterCriticalSection;
177,2219,179;RtlAllocateHeap;
178,2219,180;RtlAllocateHeap;
179,2219,181;RtlLeaveCriticalSection;
180,2219,182;RtlEnterCriticalSection;
181,2219,183;RtlAllocateHeap;
182,2219,184;RtlAllocateHeap;
183,2219,185;RtlLeaveCriticalSection;
184,2219,186;RtlEnterCriticalSection;
185,2219,187;RtlAllocateHeap;
186,2219,188;RtlAllocateHeap;
187,2219,189;RtlReAllocateHeap;
188,2219,190;RtlLeaveCriticalSection;
189,2219,191;RtlEnterCriticalSection;
190,2219,192;RtlAllocateHeap;
191,2219,193;RtlAllocateHeap;
192,2219,194;RtlLeaveCriticalSection;
193,2219,195;RtlEnterCriticalSection;
194,2219,196;RtlAllocateHeap;
195,2219,197;RtlAllocateHeap;
196,2219,198;RtlLeaveCriticalSection;
197,2219,199;RtlEnterCriticalSection;
198,2219,200;RtlAllocateHeap;
199,2219,201;RtlAllocateHeap;
200,2219,202;RtlLeaveCriticalSection;
201,2219,203;RtlEnterCriticalSection;
202,2219,204;RtlAllocateHeap;
203,2219,205;RtlAllocateHeap;
204,2219,206;RtlReAllocateHeap;
205,2219,207;RtlLeaveCriticalSection;
206,2219,208;RtlEnterCriticalSection;
207,2219,209;RtlAllocateHeap;
208,2219,210;RtlAllocateHeap;
209,2219,211;RtlLeaveCriticalSection;
210,2219,212;RtlEnterCriticalSection;
211,2219,213;RtlAllocateHeap;
212,2219,214;RtlAllocateHeap;
213,2219,215;RtlLeaveCriticalSection;
214,2219,216;RtlEnterCriticalSection;
215,2219,217;RtlAllocateHeap;
216,2219,218;RtlAllocateHeap;
217,2219,219;RtlLeaveCriticalSection;
218,2219,220;RtlEnterCriticalSection;
219,2219,221;RtlAllocateHeap;
220,2219,222;RtlAllocateHeap;
221,2219,223;RtlReAllocateHeap;
222,2219,224;RtlLeaveCriticalSection;
223,2219,225;RtlEnterCriticalSection;
224,2219,226;RtlAllocateHeap;
225,2219,227;RtlAllocateHeap;
226,2219,228;RtlLeaveCriticalSection;
