timestamp,pid,event
0,2139,DllMain
1,2139,RtlInitUnicodeString
2,2139,LdrGetDllHandle
3,2139,DllMain
4,2139,DllMain
5,2139,DllMain
6,2139,DllMain
7,2139,DllMain
8,2139,DllMain
9,2139,TlsGetValue
10,2139,TlsGetValue
11,2139,GetProcAddress
12,2139,RtlInitString
13,2139,memset
14,2139,RtlEnterCriticalSection
15,2139,RtlCaptureStackBackTrace
16,2139,RtlLeaveCriticalSection
17,2139,DecodePointer
18,2139,TlsSetValue
19,2139,HeapAlloc
20,2139,TlsGetValue
21,2139,TlsGetValue
22,2139,GetProcAddress
23,2139,RtlInitString
24,2139,memset
25,2139,RtlEnterCriticalSection
26,2139,RtlCaptureStackBackTrace
27,2139,RtlLeaveCriticalSection
28,2139,DecodePointer
29,2139,GetProcAddress
30,2139,RtlInitString
31,2139,memset
32,2139,RtlEnterCriticalSection
33,2139,RtlCaptureStackBackTrace
34,2139,RtlLeaveCriticalSection
35,2139,GetProcAddress
36,2139,RtlInitString
37,2139,memset
38,2139,RtlEnterCriticalSection
39,2139,RtlCaptureStackBackTrace
40,2139,RtlLeaveCriticalSection
41,2139,EnterCriticalSection
42,2139,LeaveCriticalSection
43,2139,EnterCriticalSection
44,2139,LeaveCriticalSection
45,2139,DllMain
46,2139,GetStartupInfoW
47,2139,GetProcessHeap
48,2139,EncodePointer
49,2139,EncodePointer
50,2139,GetModuleHandleW
51,2139,RtlInitUnicodeString
52,2139,LdrGetDllHandle
53,2139,GetProcAddress
54,2139,RtlInitString
55,2139,memset
56,2139,RtlEnterCriticalSection
57,2139,RtlCaptureStackBackTrace
58,2139,RtlLeaveCriticalSection
59,2139,GetProcAddress
60,2139,RtlInitString
61,2139,memset
62,2139,RtlEnterCriticalSection
63,2139,RtlCaptureStackBackTrace
64,2139,RtlLeaveCriticalSection
65,2139,GetProcAddress
66,2139,RtlInitString
67,2139,memset
68,2139,RtlEnterCriticalSection
69,2139,RtlCaptureStackBackTrace
70,2139,RtlLeaveCriticalSection
71,2139,GetProcAddress
72,2139,RtlInitString
73,2139,memset
74,2139,RtlEnterCriticalSection
75,2139,RtlCaptureStackBackTrace
76,2139,RtlLeaveCriticalSection
77,2139,GetProcAddress
78,2139,RtlInitString
79,2139,memset
80,2139,RtlEnterCriticalSection
81,2139,RtlCaptureStackBackTrace
82,2139,RtlLeaveCriticalSection
83,2139,GetProcAddress
84,2139,RtlInitString
85,2139,memset
86,2139,RtlEnterCriticalSection
87,2139,RtlCaptureStackBackTrace
88,2139,RtlLeaveCriticalSection
89,2139,GetProcAddress
90,2139,RtlInitString
91,2139,memset
92,2139,RtlEnterCriticalSection
93,2139,RtlCaptureStackBackTrace
94,2139,RtlLeaveCriticalSection
95,2139,GetProcAddress
96,2139,RtlInitString
97,2139,memset
98,2139,RtlEnterCriticalSection
99,2139,RtlCaptureStackBackTrace
100,2139,RtlLeaveCriticalSection
101,2139,GetProcAddress
102,2139,RtlInitString
103,2139,memset
104,2139,RtlEnterCriticalSection
105,2139,RtlCaptureStackBackTrace
106,2139,RtlLeaveCriticalSection
107,2139,GetProcAddress
108,2139,RtlInitString
109,2139,memset
110,2139,RtlEnterCriticalSection
111,2139,RtlCaptureStackBackTrace
112,2139,RtlLeaveCriticalSection
113,2139,GetProcAddress
114,2139,RtlInitString
115,2139,memset
116,2139,RtlEnterCriticalSection
117,2139,RtlCaptureStackBackTrace
118,2139,RtlLeaveCriticalSection
119,2139,GetProcAddress
120,2139,RtlInitString
121,2139,memset
122,2139,RtlEnterCriticalSection
123,2139,RtlCaptureStackBackTrace
124,2139,RtlLeaveCriticalSection
125,2139,GetProcAddress
126,2139,RtlInitString
127,2139,memset
128,2139,RtlEnterCriticalSection
129,2139,RtlCaptureStackBackTrace
130,2139,RtlLeaveCriticalSection
131,2139,GetProcAddress
132,2139,RtlInitString
133,2139,memset
134,2139,RtlEnterCriticalSection
135,2139,RtlCaptureStackBackTrace
136,2139,RtlLeaveCriticalSection
137,2139,GetProcAddress
138,2139,RtlInitString
139,2139,memset
140,2139,RtlEnterCriticalSection
141,2139,RtlCaptureStackBackTrace
142,2139,RtlLeaveCriticalSection
143,2139,GetProcAddress
144,2139,RtlInitString
145,2139,memset
146,2139,RtlEnterCriticalSection
147,2139,RtlCaptureStackBackTrace
148,2139,RtlLeaveCriticalSection
149,2139,GetProcAddress
150,2139,RtlInitString
151,2139,memset
152,2139,RtlEnterCriticalSection
153,2139,RtlCaptureStackBackTrace
154,2139,RtlLeaveCriticalSection
155,2139,GetProcAddress
156,2139,RtlInitString
157,2139,memset
158,2139,RtlEnterCriticalSection
159,2139,RtlCaptureStackBackTrace
160,2139,RtlLeaveCriticalSection
161,2139,GetProcAddress
162,2139,RtlInitString
163,2139,memset
164,2139,RtlEnterCriticalSection
165,2139,RtlCaptureStackBackTrace
166,2139,RtlLeaveCriticalSection
167,2139,GetProcAddress
168,2139,RtlInitString
169,2139,memset
170,2139,RtlEnterCriticalSection
171,2139,RtlCaptureStackBackTrace
172,2139,RtlLeaveCriticalSection
173,2139,GetProcAddress
174,2139,RtlInitString
175,2139,memset
176,2139,RtlEnterCriticalSection
177,2139,RtlCaptureStackBackTrace
178,2139,RtlLeaveCriticalSection
179,2139,GetProcAddress
180,2139,RtlInitString
181,2139,memset
182,2139,RtlEnterCriticalSection
183,2139,RtlCaptureStackBackTrace
184,2139,RtlLeaveCriticalSection
185,2139,GetProcAddress
186,2139,RtlInitString
187,2139,memset
188,2139,RtlEnterCriticalSection
189,2139,RtlCaptureStackBackTrace
190,2139,RtlLeaveCriticalSection
191,2139,GetProcAddress
192,2139,RtlInitString
193,2139,memset
194,2139,RtlEnterCriticalSection
195,2139,RtlCaptureStackBackTrace
196,2139,RtlLeaveCriticalSection
197,2139,GetProcAddress
198,2139,RtlInitString
199,2139,memset
200,2139,RtlEnterCriticalSection
